,Source,neural network,deep learning,machine learning,training data,Python,schreibtisch,Score
1,1912.09789v1.pdf,23,26,159,20,3,0,970
2,1908.00080v4.pdf,31,75,68,7,7,0,868
3,2108.00941v3.pdf,10,33,43,4,0,0,409
4,2308.11254v1.pdf,0,10,60,2,1,0,298
5,2402.06196v3.pdf,5,9,16,8,8,0,179
